author,paintname
artist, title
Blake  Robert, A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch
Blake  Robert, Two Drawings of Frightened Figures  Probably for ‘The Approach of Doom’
Blake  Robert, The Preaching of Warning. Verso: An Old Man Enthroned Between Two Groups of Figures  by ?William Blake
Blake  Robert, Six Drawings of Figures with Outstretched Arms
Blake  William, The Circle of the Lustful: Francesca da Rimini (‘The Whirlwind of Lovers’)
Blake  William, Ciampolo the Barrator Tormented by the Devils
Blake  William, The Baffled Devils Fighting
Blake  William, The Six-Footed Serpent Attacking Agnolo Brunelleschi
Blake  William, The Serpent Attacking Buoso Donati
Blake  William, The Pit of Disease: The Falsifiers
Blake  William, Dante Striking against Bocca Degli Abati
Blake  William, Job and his Family
Blake  William, Satan before the Throne of God
Blake  William, Job’s Sons and Daughters Overwhelmed by Satan
Blake  William, The Messengers tell Job of his Misfortunes
Blake  William, Satan Going Forth from the Presence of the Lord  and Job’s Charity
Blake  William, Satan Smiting Job with Sore Boils
Blake  William, Job’s Comforters
Blake  William, Job’s Despair
Blake  William, The Vision of Eliphaz
Blake  William, Job Rebuked by his Friends
Blake  William, Job’s Evil Dreams
Blake  William, The Wrath of Elihu
Blake  William, The Lord Answering Job out of the Whirlwind
Blake  William, When the Morning Stars Sang Together
Blake  William, Behemoth and Leviathan
Blake  William, The Fall of Satan
Blake  William, The Vision of Christ
Blake  William, Job’s Sacrifice
Blake  William, Every Man also Gave him a Piece of Money
Blake  William, Job and his Daughters
Blake  William, Job and his Family Restored to Prosperity
Blake  William, Sketch for ‘The Four and Twenty Elders Casting their Crowns before the Divine Throne’. Verso: Standing Figure with Arms at his Side
Blake  William, ‘Europe’: Fragment of Pages 3 and 4
Blake  William, Songs of Innocence and of Experience: Infant Sorrow
Blake  William, ‘Songs of Innocence and of Experience’: ‘Infant Sorrow’
Blake  William, ‘Songs of Innocence and of Experience’: ‘Spring’
Blake  William, ‘Songs of Innocence’: Title-Page
